Age,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Total Delay,Service Quality Score,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,Flight Distance Category_Long,Flight Distance Category_Medium,Flight Distance Category_Short
12.0,4337.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.5714285714285716,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39.0,662.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,1.0,5.0,4.0,0.0,1.0,1.0,2.857142857142857,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
54.0,593.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,3.142857142857143,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
60.0,792.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,6.0,9.0,15.0,2.2857142857142856,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
22.0,2790.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0,3.857142857142857,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
68.0,3104.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,2.4285714285714284,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
18.0,3270.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,52.0,22.0,74.0,3.857142857142857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
59.0,1141.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,3.0714285714285716,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46.0,2685.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,3.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
58.0,931.0,4.0,5.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,0.0,1.0,1.0,3.357142857142857,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
46.0,2149.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,72.0,74.0,146.0,3.7142857142857144,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
66.0,1945.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,13.0,18.0,2.7857142857142856,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
66.0,1267.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
39.0,2005.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,2.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
52.0,456.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,19.0,31.0,2.2857142857142856,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57.0,3576.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,0.0,5.0,2.7142857142857144,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
60.0,2652.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,4.071428571428571,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15.0,1909.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,2.5714285714285716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
34.0,2478.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,3.642857142857143,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
60.0,732.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,7.0,18.0,3.5714285714285716,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
57.0,107.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,3.7142857142857144,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16.0,2500.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,3.642857142857143,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
41.0,3815.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,4.285714285714286,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22.0,2323.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,4.0,3.0,1.0,0.0,7.0,7.0,2.142857142857143,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28.0,2122.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,4.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,2.7142857142857144,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19.0,2126.0,0.0,0.0,0.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,10.0,20.0,30.0,2.2857142857142856,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
34.0,3217.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,12.0,37.0,49.0,2.857142857142857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
41.0,1433.0,2.0,5.0,2.0,5.0,4.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,3.142857142857143,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
45.0,425.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,41.0,43.0,84.0,4.642857142857143,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29.0,2307.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,3.642857142857143,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43.0,3423.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,5.0,3.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0714285714285716,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
42.0,1151.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,115.0,120.0,235.0,1.9285714285714286,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30.0,1714.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.3571428571428572,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
27.0,1247.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,0.0,3.0,4.714285714285714,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
25.0,2025.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,2.857142857142857,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
54.0,3782.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,0.0,11.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
50.0,2622.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,33.0,32.0,65.0,3.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26.0,2539.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,4.214285714285714,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
21.0,2219.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,5.0,41.0,42.0,83.0,3.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
25.0,2595.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0714285714285716,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
38.0,2731.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,4.0,2.0,27.0,13.0,40.0,3.642857142857143,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
41.0,1724.0,5.0,3.0,3.0,3.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,22.0,25.0,47.0,3.7142857142857144,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
35.0,1738.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,2.2857142857142856,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
50.0,3623.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,25.0,22.0,47.0,3.357142857142857,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
35.0,1370.0,4.0,5.0,0.0,3.0,4.0,5.0,5.0,3.0,3.0,0.0,3.0,5.0,3.0,3.0,0.0,3.0,3.0,3.2857142857142856,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
20.0,2960.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,12.0,2.0,14.0,2.642857142857143,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
65.0,2008.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,3.357142857142857,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
53.0,1744.0,3.0,4.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,162.0,186.0,348.0,2.7142857142857144,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
41.0,1953.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,2.0,11.0,3.2142857142857144,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
45.0,3353.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,4.285714285714286,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54.0,2737.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,4.0,2.0,18.0,20.0,38.0,2.7857142857142856,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
65.0,50.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,6.0,8.0,1.8571428571428572,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27.0,1605.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41.0,2109.0,0.0,2.0,0.0,3.0,5.0,0.0,5.0,5.0,2.0,5.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,2.9285714285714284,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,2573.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,14.0,24.0,38.0,2.2857142857142856,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
35.0,2140.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,5.0,1.0,19.0,7.0,26.0,2.357142857142857,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
59.0,1725.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,3.2142857142857144,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
55.0,1892.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,2.0,0.0,0.0,0.0,2.857142857142857,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
59.0,2452.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,4.142857142857143,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
31.0,1254.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,45.0,42.0,87.0,2.4285714285714284,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8.0,1673.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,11.0,14.0,2.7857142857142856,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
59.0,858.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,0.0,3.0,3.7857142857142856,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
43.0,2680.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
57.0,419.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,8.0,9.0,2.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
59.0,2021.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,8.0,9.0,2.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
50.0,2306.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,4.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
57.0,1249.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
40.0,1081.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,0.0,7.0,7.0,3.357142857142857,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20.0,1806.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.7857142857142856,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
57.0,458.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,3.2142857142857144,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
71.0,1173.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0714285714285716,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28.0,4001.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,2.0,5.0,4.0,0.0,0.0,0.0,3.5714285714285716,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39.0,2814.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,6.0,18.0,24.0,3.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10.0,1861.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,4.0,5.0,1.0,34.0,25.0,59.0,2.5714285714285716,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,1680.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,3.0,24.0,17.0,41.0,3.357142857142857,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42.0,2169.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,46.0,47.0,93.0,2.0714285714285716,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25.0,2003.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.7142857142857142,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
