ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
78415,Male,37,Returning,Business,Business,2630,0,0.0,3,3,4,3,3,2,3,2,4,2,2,2,2,2,Neutral or Dissatisfied
26553,Female,64,Returning,Personal,Economy Plus,990,4,0.0,3,2,2,2,4,1,5,2,5,4,1,2,1,1,Neutral or Dissatisfied
80120,Male,25,First-time,Business,Economy,1061,0,0.0,5,5,1,4,3,2,1,5,1,5,3,5,5,5,Satisfied
48636,Male,29,First-time,Business,Business,110,16,20.0,2,2,3,2,4,3,1,2,4,4,4,2,4,5,Neutral or Dissatisfied
35681,Female,48,First-time,Business,Economy,854,0,4.0,1,1,5,5,3,2,5,4,5,1,4,1,2,4,Neutral or Dissatisfied
49660,Male,55,Returning,Business,Business,2926,1,0.0,5,5,3,3,5,1,4,1,3,3,1,3,1,3,Neutral or Dissatisfied
29029,Male,57,Returning,Business,Economy,297,0,0.0,5,5,1,2,5,2,3,5,3,3,3,2,3,4,Neutral or Dissatisfied
125219,Male,70,Returning,Personal,Economy,651,7,6.0,5,4,4,4,5,5,2,1,1,1,2,4,1,3,Neutral or Dissatisfied
59825,Male,50,Returning,Business,Business,2160,0,0.0,1,1,3,5,1,4,4,4,4,3,4,1,4,4,Satisfied
10085,Male,54,Returning,Business,Business,2638,168,156.0,1,1,5,5,1,3,5,5,5,5,5,1,4,4,Satisfied
106723,Male,47,Returning,Business,Business,837,0,0.0,5,5,4,5,5,5,4,5,5,5,5,5,5,5,Satisfied
36985,Female,20,First-time,Business,Economy,899,107,99.0,2,2,2,2,3,2,2,2,5,5,3,2,5,4,Neutral or Dissatisfied
32689,Female,37,Returning,Business,Economy,102,0,6.0,4,3,3,3,4,3,3,2,3,3,2,3,3,2,Neutral or Dissatisfied
6782,Male,58,Returning,Business,Business,235,106,92.0,4,4,4,5,4,5,4,4,5,2,5,4,5,5,Satisfied
29642,Male,43,Returning,Personal,Economy,1448,0,0.0,4,0,3,0,3,3,3,3,3,3,5,0,3,1,Satisfied
85972,Female,73,Returning,Business,Business,432,0,0.0,5,5,3,3,5,1,4,1,3,2,1,1,1,1,Neutral or Dissatisfied
66571,Male,23,First-time,Business,Economy,624,0,0.0,5,2,4,2,5,5,3,2,5,5,4,2,5,4,Neutral or Dissatisfied
56295,Male,67,Returning,Personal,Economy,2227,0,0.0,5,2,4,2,4,4,1,5,1,1,4,2,1,5,Neutral or Dissatisfied
22915,Male,33,Returning,Business,Economy,630,131,143.0,1,1,1,1,1,1,1,1,1,1,3,1,2,1,Neutral or Dissatisfied
28912,Female,43,Returning,Business,Business,2877,0,0.0,5,5,4,5,5,4,2,4,5,5,4,5,4,4,Satisfied
97682,Male,30,Returning,Personal,Economy,491,6,8.0,1,3,3,3,3,4,4,1,4,4,3,3,4,3,Neutral or Dissatisfied
43948,Female,35,Returning,Business,Economy,473,5,47.0,5,5,3,4,5,5,4,4,4,4,3,4,4,3,Satisfied
9191,Male,43,Returning,Personal,Economy,363,0,0.0,5,1,3,1,5,5,2,3,2,2,4,1,2,4,Neutral or Dissatisfied
6632,Male,60,Returning,Personal,Economy,719,0,0.0,4,1,5,1,2,5,2,2,2,2,4,1,2,5,Neutral or Dissatisfied
46887,Female,27,Returning,Business,Business,2900,0,0.0,1,1,1,5,1,4,5,2,5,5,4,1,5,4,Satisfied
98542,Female,33,Returning,Personal,Economy,402,6,4.0,4,3,5,3,4,4,2,2,2,2,5,3,2,4,Neutral or Dissatisfied
2038,Female,56,Returning,Business,Business,1936,0,0.0,1,1,3,5,1,5,5,5,5,5,5,1,5,5,Satisfied
83406,Female,27,First-time,Business,Economy,632,57,45.0,4,3,2,3,3,1,1,1,1,1,3,3,1,3,Neutral or Dissatisfied
11140,Male,55,Returning,Personal,Economy,166,0,0.0,5,1,3,1,1,4,5,5,5,5,4,1,5,5,Neutral or Dissatisfied
3733,Male,70,Returning,Personal,Economy,427,45,45.0,3,4,2,4,4,1,3,5,3,3,4,4,3,2,Neutral or Dissatisfied
34975,Female,47,Returning,Business,Economy,273,0,0.0,4,4,5,1,4,5,1,5,3,4,5,5,5,5,Satisfied
41161,Female,51,Returning,Personal,Economy,667,0,0.0,5,1,5,5,1,5,4,1,3,3,5,1,5,5,Neutral or Dissatisfied
120417,Female,72,Returning,Business,Business,366,0,0.0,5,3,5,4,5,5,4,5,4,4,5,5,5,5,Satisfied
117963,Female,47,Returning,Personal,Economy,255,10,2.0,4,5,3,4,3,5,4,5,3,3,5,5,5,5,Satisfied
51474,Female,45,Returning,Business,Business,261,0,0.0,5,5,3,5,5,4,4,5,5,4,4,5,4,4,Satisfied
97190,Male,38,Returning,Personal,Economy,1476,0,6.0,4,3,3,3,2,5,1,4,1,1,4,3,1,5,Neutral or Dissatisfied
70315,Male,26,Returning,Business,Business,1501,0,0.0,3,3,4,4,3,5,4,4,4,4,4,3,4,4,Satisfied
41300,Female,34,Returning,Personal,Business,1041,0,0.0,2,2,3,3,3,1,3,2,3,1,1,2,1,3,Neutral or Dissatisfied
47639,Female,53,Returning,Business,Business,1629,31,22.0,5,5,3,1,5,5,1,5,2,5,5,5,5,5,Satisfied
68307,Male,35,Returning,Personal,Economy,1797,3,0.0,5,2,5,2,3,3,4,4,4,4,5,2,4,3,Neutral or Dissatisfied
23644,Male,33,Returning,Business,Business,2358,0,0.0,2,2,3,4,2,3,4,3,4,4,5,2,4,5,Satisfied
62330,Female,11,Returning,Personal,Economy,414,40,29.0,3,1,2,1,1,3,5,2,5,5,2,1,5,1,Neutral or Dissatisfied
72856,Male,60,Returning,Business,Business,700,0,0.0,3,3,4,5,3,5,4,5,3,4,5,3,5,5,Satisfied
45134,Female,23,First-time,Business,Business,174,0,0.0,0,5,1,5,4,5,1,4,1,1,3,5,1,2,Satisfied
28736,Male,42,Returning,Business,Economy,1024,0,31.0,5,2,5,5,5,5,5,5,5,5,2,5,5,3,Satisfied
118512,Male,25,First-time,Business,Business,304,38,23.0,0,3,5,3,2,3,2,4,2,2,4,3,2,5,Neutral or Dissatisfied
108240,Male,45,First-time,Business,Business,895,73,63.0,2,2,4,2,4,4,4,3,4,4,4,2,4,4,Neutral or Dissatisfied
90434,Male,57,Returning,Business,Business,646,13,0.0,4,4,5,4,4,5,5,5,3,5,5,4,5,5,Satisfied
123130,Female,8,Returning,Business,Economy,631,0,0.0,3,3,4,1,3,1,4,3,1,1,4,1,1,4,Neutral or Dissatisfied
32873,Male,30,Returning,Personal,Economy,216,0,2.0,0,0,5,0,3,2,1,4,1,1,1,1,1,3,Neutral or Dissatisfied
11871,Female,55,Returning,Personal,Economy,1042,0,0.0,5,4,4,5,4,2,4,4,5,2,2,5,2,2,Satisfied
31813,Female,37,Returning,Business,Business,4983,0,2.0,3,2,4,4,2,1,4,5,4,4,3,2,3,1,Satisfied
123415,Male,53,Returning,Business,Business,937,8,0.0,4,4,4,2,4,5,4,4,3,5,5,4,5,5,Satisfied
56904,Female,33,Returning,Business,Business,2454,7,16.0,5,5,3,3,5,4,3,3,3,3,3,3,2,3,Neutral or Dissatisfied
96563,Male,23,First-time,Business,Economy,333,2,0.0,0,5,4,5,3,4,4,3,4,4,4,4,4,4,Satisfied
7359,Female,46,Returning,Personal,Business,783,0,0.0,4,2,5,5,3,5,4,2,4,3,5,2,5,5,Neutral or Dissatisfied
56761,Male,41,Returning,Business,Business,997,34,13.0,3,3,5,4,3,5,5,5,5,5,5,3,5,5,Satisfied
32402,Male,23,First-time,Business,Business,216,0,0.0,0,5,4,0,5,1,2,1,2,2,2,5,2,1,Satisfied
114925,Female,22,First-time,Business,Business,372,1,0.0,0,4,4,4,3,5,1,5,5,5,5,4,5,5,Satisfied
125625,Male,37,First-time,Business,Business,814,8,23.0,3,3,5,3,4,3,3,2,3,3,4,3,3,5,Satisfied
21786,Male,25,First-time,Business,Economy,241,0,0.0,2,3,1,3,3,2,2,2,2,2,4,3,2,3,Neutral or Dissatisfied
73305,Female,32,Returning,Business,Business,3574,0,0.0,1,1,3,4,1,3,4,2,4,4,5,1,4,5,Satisfied
125358,Male,31,Returning,Personal,Economy,599,0,7.0,5,3,1,3,4,1,1,1,1,1,2,4,1,3,Neutral or Dissatisfied
25794,Female,41,Returning,Business,Business,762,0,3.0,5,5,2,3,5,4,3,4,1,1,4,4,4,4,Neutral or Dissatisfied
2109,Male,28,Returning,Business,Economy Plus,812,5,0.0,4,4,3,3,4,4,2,1,2,2,4,2,2,3,Neutral or Dissatisfied
49615,Female,21,Returning,Business,Business,3043,450,470.0,1,1,4,3,1,1,4,4,4,5,2,1,4,5,Satisfied
84392,Female,9,First-time,Business,Economy,591,0,0.0,4,5,4,5,2,3,1,5,5,5,4,5,5,5,Satisfied
108294,Female,44,Returning,Personal,Business,1728,15,16.0,4,3,3,4,3,1,4,3,4,2,1,3,1,1,Neutral or Dissatisfied
45116,Male,26,First-time,Business,Economy,157,14,9.0,5,3,3,3,1,5,2,5,2,2,5,3,2,4,Neutral or Dissatisfied
83286,Female,8,Returning,Personal,Economy,1979,80,64.0,2,3,2,3,4,2,5,4,5,5,4,3,5,3,Neutral or Dissatisfied
44987,Female,25,First-time,Business,Economy,235,0,0.0,5,2,1,2,3,4,4,2,4,4,3,2,4,2,Neutral or Dissatisfied
38397,Male,22,First-time,Business,Economy,898,0,0.0,1,1,4,1,3,2,2,1,2,2,4,1,2,4,Neutral or Dissatisfied
76600,Male,70,Returning,Business,Business,481,0,0.0,3,3,4,3,3,4,3,4,4,3,4,4,4,4,Neutral or Dissatisfied
120847,Female,8,Returning,Business,Business,3817,0,0.0,5,5,4,3,5,1,3,1,3,3,3,3,3,3,Neutral or Dissatisfied
128889,Female,40,Returning,Business,Business,2454,0,0.0,5,5,4,4,5,4,4,5,4,4,5,5,5,4,Satisfied
108220,Male,26,Returning,Personal,Economy,777,0,0.0,4,4,4,4,3,3,1,3,1,1,5,4,1,5,Neutral or Dissatisfied
93623,Male,37,Returning,Business,Economy,577,27,28.0,3,3,2,1,3,4,1,2,1,1,1,1,1,1,Neutral or Dissatisfied
66895,Male,21,Returning,Business,Business,3004,0,0.0,5,5,3,5,5,3,5,3,5,5,4,5,5,5,Satisfied
85102,Female,43,Returning,Business,Business,689,0,0.0,3,3,5,5,3,4,4,4,5,5,4,3,4,4,Satisfied
73397,Male,24,First-time,Business,Economy,1005,54,35.0,4,4,3,4,3,3,5,3,3,3,3,3,3,3,Neutral or Dissatisfied
123248,Male,46,Returning,Personal,Economy,468,2,0.0,3,2,2,2,4,1,4,2,4,4,4,2,4,3,Neutral or Dissatisfied
30840,Female,31,Returning,Business,Business,1514,0,0.0,5,5,3,4,5,3,4,3,4,4,5,5,4,4,Satisfied
31417,Female,45,Returning,Business,Business,1546,38,30.0,1,1,2,5,1,5,5,5,2,3,5,1,5,5,Satisfied
122115,Female,42,Returning,Business,Business,2467,0,0.0,4,0,3,5,4,3,5,3,3,5,3,0,3,3,Satisfied
55029,Male,49,Returning,Business,Business,1609,10,0.0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,Satisfied
87504,Female,16,Returning,Business,Business,1983,0,0.0,2,2,1,4,2,3,4,4,4,4,3,2,4,1,Satisfied
18374,Female,19,Returning,Personal,Economy,169,0,0.0,4,4,5,4,4,4,3,3,3,3,5,4,3,5,Neutral or Dissatisfied
11056,Female,20,Returning,Personal,Economy,247,0,37.0,4,2,4,2,5,5,4,3,4,4,4,2,4,5,Neutral or Dissatisfied
68322,Female,51,Returning,Business,Business,2165,0,5.0,5,5,3,5,5,5,5,5,3,3,5,5,5,5,Satisfied
70191,Male,60,Returning,Business,Business,2159,0,0.0,0,0,5,5,5,5,5,5,5,3,5,0,5,5,Satisfied
91008,Male,50,Returning,Personal,Economy,581,0,0.0,2,4,2,4,2,3,5,1,5,5,3,4,5,3,Neutral or Dissatisfied
45165,Female,33,Returning,Business,Economy,174,4,5.0,3,3,5,4,3,4,4,5,4,4,1,4,4,2,Satisfied
45526,Male,10,First-time,Business,Economy,689,2,0.0,4,4,4,4,1,4,5,1,5,5,3,4,5,5,Satisfied
4497,Male,25,First-time,Business,Economy,435,0,0.0,2,2,1,2,3,3,5,5,5,5,3,2,5,4,Neutral or Dissatisfied
16212,Female,32,Returning,Business,Economy Plus,277,0,0.0,4,4,3,5,4,3,5,1,5,5,3,5,5,2,Satisfied
27802,Male,13,Returning,Business,Business,1448,0,0.0,3,3,3,4,3,3,4,5,4,4,3,3,4,4,Satisfied
76513,Male,28,First-time,Business,Business,516,0,0.0,4,4,3,4,2,4,4,3,4,4,4,4,4,4,Satisfied
103790,Female,56,Returning,Business,Business,882,0,0.0,2,2,3,4,2,4,5,4,4,5,4,2,4,4,Satisfied
93601,Male,54,Returning,Business,Business,577,2,0.0,3,3,3,5,3,4,4,4,5,2,4,3,4,4,Satisfied
10518,Female,33,Returning,Business,Business,224,16,14.0,5,5,3,4,5,4,4,4,5,3,4,5,4,5,Satisfied
108103,Male,28,Returning,Business,Business,2464,0,0.0,1,1,5,4,1,4,4,3,4,4,4,1,4,4,Satisfied
53504,Female,17,Returning,Personal,Economy,2419,0,3.0,2,5,1,1,3,5,1,3,1,5,3,5,4,4,Satisfied
26041,Male,40,Returning,Business,Business,432,6,0.0,5,1,4,1,5,4,5,4,1,5,4,5,4,4,Satisfied
41115,Female,62,Returning,Business,Business,224,68,55.0,4,4,2,3,4,5,4,5,1,5,5,4,5,5,Satisfied
62274,Male,36,First-time,Business,Business,414,0,0.0,3,3,4,3,5,4,3,2,3,3,5,3,3,5,Neutral or Dissatisfied
97156,Male,58,Returning,Business,Business,2021,0,0.0,5,5,1,4,5,2,4,2,1,2,2,2,2,2,Neutral or Dissatisfied
54651,Male,24,First-time,Business,Economy,787,30,16.0,1,1,5,1,4,2,2,1,2,2,1,1,2,4,Neutral or Dissatisfied
29403,Male,67,Returning,Personal,Economy,2676,0,0.0,4,4,1,1,4,5,1,3,1,4,4,4,3,5,Neutral or Dissatisfied
43865,Male,48,First-time,Business,Economy,174,0,0.0,4,5,3,5,2,1,4,3,4,4,5,4,4,3,Neutral or Dissatisfied
67303,Male,38,Returning,Business,Economy Plus,1121,0,0.0,4,4,4,3,4,1,2,5,2,2,4,2,2,3,Neutral or Dissatisfied
94127,Female,57,First-time,Business,Business,293,1,0.0,3,3,3,3,2,3,2,5,2,2,5,3,2,4,Neutral or Dissatisfied
106078,Female,39,First-time,Business,Business,302,0,0.0,5,5,4,5,3,4,5,2,5,5,5,5,5,5,Satisfied
64670,Male,49,Returning,Business,Business,3846,66,60.0,3,3,5,4,3,4,5,4,4,5,4,3,4,4,Satisfied
22906,Female,49,Returning,Personal,Economy Plus,151,0,0.0,4,2,5,5,4,4,5,2,5,4,4,2,4,4,Neutral or Dissatisfied
92279,Male,62,Returning,Personal,Economy,2036,0,0.0,4,2,5,2,3,3,1,5,1,1,5,2,1,5,Neutral or Dissatisfied
32069,Female,54,Returning,Business,Business,1581,0,0.0,2,2,4,3,2,5,4,5,5,5,5,2,5,4,Satisfied
79901,Male,42,Returning,Business,Business,1096,170,157.0,5,5,4,4,5,5,4,5,4,4,5,5,5,5,Satisfied
43115,Male,53,Returning,Personal,Economy,192,20,10.0,5,4,3,4,4,4,5,5,5,5,4,4,5,5,Neutral or Dissatisfied
27866,Female,35,First-time,Business,Economy Plus,1448,0,0.0,2,2,2,2,4,1,4,4,4,4,2,2,4,3,Neutral or Dissatisfied
119895,Male,39,Returning,Business,Business,936,0,0.0,5,5,4,4,5,4,5,4,5,2,4,5,4,4,Satisfied
46175,Male,22,Returning,Personal,Economy,604,30,16.0,4,1,3,1,3,3,2,4,2,2,5,1,2,5,Neutral or Dissatisfied
78388,Male,53,Returning,Business,Business,580,24,0.0,3,3,2,3,3,1,3,1,1,2,1,1,1,1,Neutral or Dissatisfied
18846,Female,50,First-time,Business,Economy,448,16,9.0,5,2,2,2,3,2,2,5,2,2,4,2,2,2,Neutral or Dissatisfied
67544,Male,32,Returning,Personal,Business,1235,6,1.0,5,4,5,4,4,4,5,2,5,5,5,4,5,3,Neutral or Dissatisfied
35281,Female,26,Returning,Business,Business,1069,11,0.0,1,1,2,3,1,4,3,4,3,3,4,3,3,4,Neutral or Dissatisfied
114962,Male,22,First-time,Business,Business,362,13,4.0,0,4,5,4,2,5,4,4,4,4,4,4,4,4,Satisfied
2727,Female,60,Returning,Business,Business,372,0,0.0,5,5,5,5,5,5,5,5,5,2,5,5,5,5,Satisfied
78081,Female,53,Returning,Business,Economy Plus,332,85,92.0,3,3,2,4,3,1,3,2,1,1,1,2,1,1,Neutral or Dissatisfied
25434,Male,41,Returning,Business,Business,2027,68,53.0,5,5,2,1,5,3,4,5,2,5,3,5,3,3,Satisfied
11216,Male,17,Returning,Personal,Economy,224,58,49.0,5,3,5,3,5,4,4,4,4,4,4,3,4,4,Neutral or Dissatisfied
4947,Male,62,Returning,Business,Economy Plus,268,0,3.0,5,5,4,5,5,4,5,1,5,5,1,5,5,2,Satisfied
121510,Female,18,First-time,Business,Economy,1009,0,0.0,2,2,2,2,4,3,4,1,4,4,4,2,4,3,Neutral or Dissatisfied
72388,Male,42,Returning,Business,Business,985,11,0.0,3,3,5,4,3,3,4,3,4,4,3,3,3,3,Satisfied
25871,Female,67,Returning,Personal,Economy Plus,692,0,0.0,5,1,4,4,2,5,4,1,5,3,5,1,5,5,Neutral or Dissatisfied
64491,Female,22,First-time,Business,Economy,247,65,68.0,1,3,1,3,4,1,1,4,1,1,4,3,1,4,Neutral or Dissatisfied
42452,Female,20,First-time,Business,Economy,866,13,0.0,1,1,2,1,5,1,3,3,3,3,5,1,3,5,Neutral or Dissatisfied
18976,Female,24,First-time,Business,Economy,792,170,182.0,5,5,4,4,1,4,4,2,4,5,1,5,4,5,Satisfied
68260,Male,39,Returning,Personal,Economy,631,8,25.0,4,3,4,3,2,4,5,4,5,5,5,3,5,4,Neutral or Dissatisfied
91007,Male,62,Returning,Personal,Economy,444,0,1.0,4,2,5,2,3,3,1,3,1,1,5,2,1,5,Neutral or Dissatisfied
100549,Female,55,Returning,Business,Economy Plus,180,10,1.0,5,5,2,4,5,3,1,3,3,5,3,3,3,3,Satisfied
6947,Male,27,First-time,Business,Economy,501,9,0.0,4,2,4,2,3,1,2,3,2,2,4,2,2,4,Neutral or Dissatisfied
50362,Male,54,Returning,Business,Economy,77,4,6.0,1,4,4,2,4,2,3,5,3,3,4,2,3,4,Neutral or Dissatisfied
16174,Male,35,First-time,Business,Economy,212,0,0.0,1,4,2,4,2,3,4,2,4,4,2,4,4,2,Neutral or Dissatisfied
71524,Male,30,Returning,Business,Business,2787,0,0.0,2,2,5,4,2,4,4,2,4,4,5,2,4,5,Satisfied
106797,Female,20,First-time,Business,Economy,977,0,0.0,1,1,2,1,4,2,3,4,3,3,4,1,3,3,Neutral or Dissatisfied
55458,Female,62,Returning,Personal,Economy,2327,0,0.0,5,3,4,4,3,1,5,3,5,4,1,3,1,1,Neutral or Dissatisfied
89113,Male,42,First-time,Business,Economy,1425,3,8.0,2,2,1,2,4,4,1,3,1,1,4,2,1,2,Neutral or Dissatisfied
111227,Female,11,Returning,Personal,Economy,1703,0,0.0,2,2,2,2,4,1,2,2,2,2,4,2,2,3,Neutral or Dissatisfied
12950,Male,52,Returning,Personal,Economy,359,0,0.0,4,3,3,3,4,3,2,2,2,2,4,3,2,5,Neutral or Dissatisfied
20409,Female,27,Returning,Business,Business,1811,39,25.0,3,3,4,4,3,3,5,2,4,4,3,3,4,5,Satisfied
116808,Male,51,Returning,Business,Economy Plus,308,0,0.0,3,3,3,3,3,2,3,1,3,3,4,3,3,4,Neutral or Dissatisfied
123107,Female,36,Returning,Business,Business,2903,0,0.0,4,4,2,3,4,1,4,1,3,2,1,1,1,1,Neutral or Dissatisfied
27990,Male,22,Returning,Business,Economy,1616,0,0.0,2,2,3,4,2,1,3,2,4,4,3,4,4,5,Satisfied
96490,Male,24,First-time,Business,Economy,436,0,0.0,3,4,2,4,3,3,5,3,4,4,4,4,4,3,Neutral or Dissatisfied
45428,Male,25,First-time,Business,Economy,649,0,0.0,4,2,4,2,4,2,2,4,3,3,4,1,3,4,Neutral or Dissatisfied
119026,Female,20,First-time,Business,Economy,1060,0,0.0,2,2,3,2,4,1,5,2,5,5,4,2,5,4,Neutral or Dissatisfied
55135,Female,44,Returning,Personal,Economy,1303,40,27.0,5,3,4,4,4,2,4,3,4,5,2,3,2,2,Neutral or Dissatisfied
128893,Male,64,Returning,Business,Business,3641,92,90.0,1,1,5,5,1,2,5,3,5,5,1,1,2,2,Satisfied
10934,Male,43,Returning,Business,Economy,158,112,109.0,2,5,2,2,2,4,2,3,2,2,2,2,2,2,Neutral or Dissatisfied
2874,Male,27,Returning,Personal,Economy,491,181,201.0,2,3,3,3,2,5,3,2,3,3,1,3,1,2,Neutral or Dissatisfied
28926,Male,60,Returning,Business,Economy,672,11,19.0,0,0,3,1,3,4,5,5,5,5,4,1,5,4,Neutral or Dissatisfied
76769,Male,43,Returning,Business,Business,3666,0,0.0,3,3,5,5,3,4,5,5,5,2,4,3,4,4,Satisfied
91869,Female,24,First-time,Business,Economy,780,11,10.0,5,5,5,5,4,5,5,4,5,5,5,4,5,4,Satisfied
35996,Female,39,Returning,Personal,Economy Plus,2496,0,0.0,5,3,2,3,1,3,4,5,4,4,2,3,4,5,Neutral or Dissatisfied
50826,Male,16,Returning,Personal,Economy,308,0,0.0,3,3,2,3,4,2,3,3,3,3,3,3,3,3,Neutral or Dissatisfied
98374,Male,31,Returning,Personal,Economy,1046,0,0.0,5,3,4,3,1,3,2,2,2,2,5,3,2,4,Neutral or Dissatisfied
110367,Male,47,Returning,Business,Economy,919,5,0.0,3,3,1,4,3,3,4,1,4,4,4,4,4,3,Neutral or Dissatisfied
86232,Male,25,First-time,Business,Economy,306,29,29.0,1,2,4,2,4,3,3,3,3,3,3,2,3,3,Neutral or Dissatisfied
62676,Female,43,Returning,Personal,Economy Plus,1726,26,24.0,1,2,4,3,3,5,3,2,3,3,5,2,5,5,Neutral or Dissatisfied
69839,Male,65,Returning,Business,Business,655,0,0.0,5,5,4,2,5,4,3,4,1,3,4,5,4,4,Satisfied
93745,Male,20,First-time,Business,Business,368,0,0.0,4,5,3,5,5,5,1,5,1,1,4,5,1,5,Satisfied
3,Male,41,Returning,Business,Business,853,0,0.0,4,4,4,5,4,3,5,3,5,5,3,4,3,3,Satisfied
37615,Female,33,Returning,Personal,Economy,944,0,5.0,2,3,3,3,4,3,2,1,2,2,3,3,2,3,Neutral or Dissatisfied
55924,Male,55,Returning,Personal,Economy,733,4,1.0,5,4,5,4,2,3,5,3,5,5,4,4,5,4,Neutral or Dissatisfied
64544,Male,34,First-time,Business,Business,469,0,0.0,3,3,4,3,2,3,3,5,3,3,4,3,3,5,Neutral or Dissatisfied
91823,Male,21,First-time,Business,Economy,590,0,0.0,2,4,3,4,4,3,3,3,4,4,5,4,4,5,Satisfied
20236,Female,20,First-time,Business,Economy,137,26,26.0,1,1,4,1,4,1,1,2,1,1,3,1,1,4,Neutral or Dissatisfied
85292,Male,29,Returning,Personal,Economy,813,0,0.0,0,1,3,1,2,2,4,2,4,4,5,1,4,3,Neutral or Dissatisfied
10083,Female,43,Returning,Business,Business,2702,49,37.0,0,0,5,4,1,4,4,4,5,3,4,0,4,4,Satisfied
114247,Male,23,First-time,Business,Business,967,0,0.0,0,0,4,0,4,4,5,5,5,5,5,0,5,5,Satisfied
50171,Female,49,Returning,Business,Business,89,37,30.0,3,4,3,3,3,3,4,3,2,2,3,2,3,2,Neutral or Dissatisfied
89655,Male,62,Returning,Business,Business,2107,0,8.0,1,3,4,4,3,3,3,3,4,2,3,3,3,3,Neutral or Dissatisfied
120806,Female,44,First-time,Business,Business,666,67,68.0,3,3,3,3,5,3,5,2,5,5,4,3,5,5,Neutral or Dissatisfied
68607,Female,59,Returning,Personal,Economy,1739,1,0.0,5,2,3,4,1,1,5,2,5,4,1,2,1,1,Neutral or Dissatisfied
8382,Male,61,Returning,Personal,Economy,701,0,5.0,4,3,5,3,2,5,4,2,4,4,5,3,4,5,Neutral or Dissatisfied
46935,Male,34,First-time,Business,Economy,844,0,0.0,4,4,3,4,1,5,2,3,2,2,2,3,2,1,Neutral or Dissatisfied
37102,Male,39,Returning,Business,Business,1046,23,42.0,4,4,4,1,4,4,5,5,5,1,4,4,4,4,Satisfied
53837,Female,66,Returning,Business,Economy,224,7,19.0,2,2,3,3,2,2,4,2,1,5,2,2,2,2,Neutral or Dissatisfied
126897,Male,58,Returning,Business,Business,2296,0,8.0,2,2,3,3,2,4,4,4,5,5,4,2,4,4,Satisfied
81847,Female,8,Returning,Personal,Economy,1501,0,0.0,4,2,3,2,3,4,2,2,2,2,3,2,2,4,Neutral or Dissatisfied
20470,Female,12,Returning,Personal,Economy,84,0,0.0,1,5,4,5,1,3,3,2,3,3,2,5,3,2,Satisfied
56983,Male,33,Returning,Personal,Economy,2565,0,2.0,5,2,2,2,2,2,2,3,2,2,1,2,2,4,Neutral or Dissatisfied
22510,Male,18,Returning,Business,Economy Plus,143,1,0.0,1,1,5,5,1,1,3,2,5,5,5,5,5,5,Satisfied
